question,answer,focus_area
What are the treatments for Heart Failure ?,"There is no cure for heart failure, but it can be controlled by treating the underlying conditions that cause it. Treatment for heart failure will depend on the type and stage of heart failure (the severity of the condition). The goals for treatment of all stages of heart failure are to reduce symptoms, treat the cause (such as heart disease, high blood pressure, or diabetes), stop the disease from worsening, and prolong life. Treatments for Heart Failure Treatments for heart failure include - lifestyle changes - medications - specialized care for those who are in the advanced stages. lifestyle changes medications specialized care for those who are in the advanced stages. Treatment for heart failure will reduce the chances that you will have to go to the hospital and make it easier for you to do the things you like to do. It is very important that you follow your treatment plan by keeping doctor appointments, taking medications, and making lifestyle changes.",Heart Failure
What is (are) Heart Failure ?,"In heart failure, the heart cannot pump enough blood through the body. Heart failure develops over time as the pumping action of the heart gets weaker. Heart failure does not mean that the heart has stopped working or is about to stop working. When the heart is weakened by heart failure, blood and fluid can back up into the lungs and fluid builds up in the feet, ankles, and legs. People with heart failure often experience tiredness and shortness of breath.",Heart Failure
What causes Heart Failure ?,"Heart failure is caused by other diseases and conditions that damage the heart muscle. It is most commonly caused by coronary artery disease, including heart attack. Diabetes and high blood pressure also contribute to heart failure risk. People who have had a heart attack are at high risk of developing heart failure.",Heart Failure
What are the symptoms of Heart Failure ?,"The most common symptoms of heart failure include shortness of breath or difficulty breathing, feeling tired, and swelling. Swelling is caused by fluid build-up in the body. Fluid buildup can lead to weight gain and frequent urination, as well as coughing.",Heart Failure
How many people are affected by Heart Failure ?,"Approximately 5 million people in the United States have heart failure. It contributes to 300,000 deaths each year. It is the number one cause of hospitalizations for people over the age of 65.",Heart Failure
Who is at risk for Heart Failure? ?,"Heart failure is more common in - people who are 65 years old or older - African-Americans - people who are overweight - people who have had a heart attack - men. people who are 65 years old or older African-Americans people who are overweight people who have had a heart attack men. Aging can weaken the heart muscle. Older people also may have had diseases for many years that led to heart failure. African Americans are more likely to have heart failure than people of other races. They're also more likely to have symptoms at a younger age, have more hospital visits due to heart failure, and die from heart failure. Excess weight puts strain on the heart. Being overweight also increases your risk of heart disease and type 2 diabetes. These diseases can lead to heart failure. A history of a heart attack puts people at greater risk for heart failure. Men have a higher rate of heart failure than women.",Heart Failure
How to prevent Heart Failure ?,"Ways to prevent heart failure include - keeping your cholesterol and blood pressure levels healthy - keeping diabetes in check - maintaining a healthy weight - quitting smoking - following a heart healthy diet - limiting the amount of alcohol you drink - eating a diet low in salt because salt can cause extra fluid to build up in your body and also contribute to high blood pressure. Older adults should limit their sodium (salt) intake to1500 mg a day (about 2/3 tsp of salt). - getting regular exercise. Aim for at least 30 minutes a day of exercise. Check with your doctor before starting any exercise program. For information about exercises that older adults can do safely, see Exercises to Try or visit Go4Life, the exercise and physical activity campaign for older adults from the National Institute on Aging. keeping your cholesterol and blood pressure levels healthy keeping diabetes in check maintaining a healthy weight quitting smoking following a heart healthy diet limiting the amount of alcohol you drink eating a diet low in salt because salt can cause extra fluid to build up in your body and also contribute to high blood pressure. Older adults should limit their sodium (salt) intake to1500 mg a day (about 2/3 tsp of salt). getting regular exercise. Aim for at least 30 minutes a day of exercise. Check with your doctor before starting any exercise program. For information about exercises that older adults can do safely, see Exercises to Try or visit Go4Life, the exercise and physical activity campaign for older adults from the National Institute on Aging.",Heart Failure
What is (are) Heart Failure ?,"Keeping your cholesterol levels healthy can help prevent coronary artery disease. Your goal for LDL, or ""bad,"" cholesterol depends on how many other risk factors you have. Here are recommended LDL cholesterol goals. - If you don't have coronary heart disease or diabetes and have one or no risk factors, your LDL goal is less than 160 mg/dL. - If you don't have coronary heart disease or diabetes and have two or more risk factors, your LDL goal is less than 130 mg/dL. - If you do have coronary heart disease or diabetes, your LDL goal is less than 100 mg/dL. If you don't have coronary heart disease or diabetes and have one or no risk factors, your LDL goal is less than 160 mg/dL. If you don't have coronary heart disease or diabetes and have two or more risk factors, your LDL goal is less than 130 mg/dL. If you do have coronary heart disease or diabetes, your LDL goal is less than 100 mg/dL. The goal for HDL, or ""good,"" cholesterol is above 40 in men and above 50 in women. The goal for triglycerides, another fat in the blood, is below 150.",Heart Failure
How to diagnose Heart Failure ?,"There is not one specific test to diagnose heart failure. Because the symptoms are common for other conditions, your doctor will determine if you have heart failure by doing a detailed medical history, an examination, and several tests. During a physical exam, a doctor will listen for abnormal heart sounds and lung sounds that indicate fluid buildup, as well as look for signs of swelling. If there are signs of heart failure, the doctor may order several tests, including: - an EKG, or electrocardiogram, to measure the rate and regularity of the heartbeat - a chest X-ray to evaluate the heart and lungs - a BNP blood test to measure the level of a hormone called BNP that increases when heart failure is present. an EKG, or electrocardiogram, to measure the rate and regularity of the heartbeat a chest X-ray to evaluate the heart and lungs a BNP blood test to measure the level of a hormone called BNP that increases when heart failure is present.",Heart Failure
How to diagnose Heart Failure ?,"Once initial tests have been performed, your doctor may decide to send you to a cardiologist, a specialist in diagnosis and treatment of heart disease. A cardiologist will perform a physical exam and may order other tests. There are several tests that can identify the cause of heart failure. These tests include: - An echocardiogram is one of the most useful tests for diagnosing heart failure. This test uses sound waves to create a picture of the heart and shows how well the heart is filling with blood. Your doctor uses this test to determine whether any areas of your heart are damaged. An echocardiogram is one of the most useful tests for diagnosing heart failure. This test uses sound waves to create a picture of the heart and shows how well the heart is filling with blood. Your doctor uses this test to determine whether any areas of your heart are damaged. - A Holter monitor, which is a small box that is attached to patches placed on your chest. The monitor, which is worn for 24 hours, provides a continuous recording of heart rhythm during normal activity. A Holter monitor, which is a small box that is attached to patches placed on your chest. The monitor, which is worn for 24 hours, provides a continuous recording of heart rhythm during normal activity. - An exercise stress test captures your EKG and blood pressure before, during, or after exercise to see how your heart responds to exercise. This test tells doctors how your heart responds to activity. An exercise stress test captures your EKG and blood pressure before, during, or after exercise to see how your heart responds to exercise. This test tells doctors how your heart responds to activity.",Heart Failure
What are the treatments for Heart Failure ?,Treatment for heart failure includes lifestyle changes medications specialized care for those in advanced stages of the disease.,Heart Failure
What are the treatments for Heart Failure ?,Lifestyle changes to treat heart failure may include - reducing salt and fluid intake - following a heart healthy diet - adopting a plan to lose weight - quitting smoking - engaging in physical activity. reducing salt and fluid intake following a heart healthy diet adopting a plan to lose weight quitting smoking engaging in physical activity.,Heart Failure
What are the treatments for Heart Failure ?,"Many medications are used to manage heart failure. They include diuretics, ACE inhibitors, beta blockers and digoxin. Diuretics are used to reduce fluid buildup. ACE inhibitors work to improve heart failure in many ways, including lowering blood pressure. Beta blockers can also improve heart failure in many ways, including slowing the heart rate. Digoxin affects the hormones that worsen heart failure.",Heart Failure
What are the treatments for Heart Failure ?,"For severe heart failure, patients may require additional oxygen, a mechanical heart pump, or a heart transplant.",Heart Failure
What is (are) Heart Failure ?,More detailed information on heart failure is available at http://www.nhlbi.nih.gov/health/dci,Heart Failure
What is (are) Heart Valve Diseases ?,"Your heart has four valves. Normally, these valves open to let blood flow through or out of your heart, and then shut to keep it from flowing backward. But sometimes they don't work properly. If they don't, you could have - Regurgitation - when blood leaks back through the valve in the wrong direction - Mitral valve prolapse - when one of the valves, the mitral valve, has ""floppy"" flaps and doesn't close tightly. It's one of the most common heart valve conditions. Sometimes it causes regurgitation. - Stenosis - when the valve doesn't open enough and blocks blood flow Valve problems can be present at birth or caused by infections, heart attacks, or heart disease or damage. The main sign of heart valve disease is an unusual heartbeat sound called a heart murmur. Your doctor can hear a heart murmur with a stethoscope. But many people have heart murmurs without having a problem. Heart tests can show if you have a heart valve disease. Some valve problems are minor and do not need treatment. Others might require medicine, medical procedures, or surgery to repair or replace the valve. NIH: National Heart, Lung, and Blood Institute",Heart Valve Diseases
What is (are) Diabetic Nerve Problems ?,"If you have diabetes, your blood glucose, or blood sugar, levels are too high. Over time, this can damage the covering on your nerves or the blood vessels that bring oxygen to your nerves. Damaged nerves may stop sending messages, or may send messages slowly or at the wrong times. This damage is called diabetic neuropathy. Over half of people with diabetes get it. Symptoms may include - Numbness in your hands, legs, or feet - Shooting pains, burning, or tingling - Nausea, vomiting, constipation, or diarrhea - Problems with sexual function - Urinary problems - Dizziness when you change positions quickly Your doctor will diagnose diabetic neuropathy with a physical exam and nerve tests. Controlling your blood sugar can help prevent nerve problems, or keep them from getting worse. Treatment may include pain relief and other medicines. NIH: National Institute of Diabetes and Digestive and Kidney Diseases",Diabetic Nerve Problems
What is (are) Heart Diseases ?,"If you're like most people, you think that heart disease is a problem for others. But heart disease is the number one killer in the U.S. It is also a major cause of disability. There are many different forms of heart disease. The most common cause of heart disease is narrowing or blockage of the coronary arteries, the blood vessels that supply blood to the heart itself. This is called coronary artery disease and happens slowly over time. It's the major reason people have heart attacks. Other kinds of heart problems may happen to the valves in the heart, or the heart may not pump well and cause heart failure. Some people are born with heart disease. You can help reduce your risk of heart disease by taking steps to control factors that put you at greater risk: - Control your blood pressure - Lower your cholesterol - Don't smoke - Get enough exercise NIH: National Heart, Lung, and Blood Institute",Heart Diseases
What is (are) Diabetic Kidney Problems ?,"If you have diabetes, your blood glucose, or blood sugar, levels are too high. Over time, this can damage your kidneys. Your kidneys clean your blood. If they are damaged, waste and fluids build up in your blood instead of leaving your body. Kidney damage from diabetes is called diabetic nephropathy. It begins long before you have symptoms. An early sign of it is small amounts of protein in your urine. A urine test can detect it. A blood test can also help determine how well your kidneys are working. If the damage continues, your kidneys could fail. In fact, diabetes is the most common cause of kidney failure in the United States. People with kidney failure need either dialysis or a kidney transplant. You can slow down kidney damage or keep it from getting worse. Controlling your blood sugar and blood pressure, taking your medicines and not eating too much protein can help. NIH: National Institute of Diabetes and Digestive and Kidney Diseases",Diabetic Kidney Problems
What is (are) Diabetic Eye Problems ?,"If you have diabetes, your blood glucose, or blood sugar, levels are too high. Over time, this can damage your eyes. The most common problem is diabetic retinopathy. It is a leading cause of blindness in American adults. Your retina is the light-sensitive tissue at the back of your eye. You need a healthy retina to see clearly. Diabetic retinopathy damages the tiny blood vessels inside your retina. You may not notice it at first. Symptoms can include - Blurry or double vision - Rings, flashing lights, or blank spots - Dark or floating spots - Pain or pressure in one or both of your eyes - Trouble seeing things out of the corners of your eyes Treatment often includes laser treatment or surgery, with follow-up care. Two other eye problems can happen to people with diabetes. A cataract is a cloud over the lens of your eye. Surgery helps you see clearly again. Glaucoma happens when pressure builds up in the eye, damaging the main nerve. Eye drops or surgery can help. If you have diabetes, you should have a complete eye exam every year. Finding and treating problems early may save your vision. NIH: National Institute of Diabetes and Digestive and Kidney Diseases",Diabetic Eye Problems
Do you have information about Diabetic Diet,"Summary : If you have diabetes, your body cannot make or properly use insulin. This leads to high blood glucose, or blood sugar, levels. Healthy eating helps keep your blood sugar in your target range. It is a critical part of managing your diabetes, because controlling your blood sugar can prevent the complications of diabetes. A registered dietitian can help make an eating plan just for you. It should take into account your weight, medicines, lifestyle, and other health problems you have. Healthy diabetic eating includes - Limiting foods that are high in sugar - Eating smaller portions, spread out over the day - Being careful about when and how many carbohydrates you eat - Eating a variety of whole-grain foods, fruits and vegetables every day - Eating less fat - Limiting your use of alcohol - Using less salt NIH: National Institute of Diabetes and Digestive and Kidney Diseases",Diabetic Diet
What is (are) Diabetes Type 2 ?,"Diabetes means your blood glucose, or blood sugar, levels are too high. With type 2 diabetes, the more common type, your body does not make or use insulin well. Insulin is a hormone that helps glucose get into your cells to give them energy. Without insulin, too much glucose stays in your blood. Over time, high blood glucose can lead to serious problems with your heart, eyes, kidneys, nerves, and gums and teeth. You have a higher risk of type 2 diabetes if you are older, obese, have a family history of diabetes, or do not exercise. Having prediabetes also increases your risk. Prediabetes means that your blood sugar is higher than normal but not high enough to be called diabetes. The symptoms of type 2 diabetes appear slowly. Some people do not notice symptoms at all. The symptoms can include - Being very thirsty - Urinating often - Feeling very hungry or tired - Losing weight without trying - Having sores that heal slowly - Having blurry eyesight Blood tests can show if you have diabetes. One type of test, the A1C, can also check on how you are managing your diabetes. Many people can manage their diabetes through healthy eating, physical activity, and blood glucose testing. Some people also need to take diabetes medicines. NIH: National Institute of Diabetes and Digestive and Kidney Diseases",Diabetes Type 2
What is (are) Diabetic Heart Disease ?,"If you have diabetes or pre-diabetes you have an increased risk for heart disease. Diabetic heart disease can be coronary heart disease (CHD), heart failure, and diabetic cardiomyopathy. Diabetes by itself puts you at risk for heart disease. Other risk factors include - Family history of heart disease - Carrying extra weight around the waist - Abnormal cholesterol levels - High blood pressure - Smoking Some people who have diabetic heart disease have no signs or symptoms of heart disease. Others have some or all of the symptoms of heart disease. Treatments include medications to treat heart damage or to lower your blood glucose (blood sugar), blood pressure, and cholesterol. If you are not already taking a low dose of aspirin every day, your doctor may suggest it. You also may need surgery or some other medical procedure. Lifestyle changes also help. These include a healthy diet, maintaining a healthy weight, being physically active, and quitting smoking. NIH: National Institute of Diabetes and Digestive and Kidney Diseases",Diabetic Heart Disease
Do you have information about Diabetes Medicines,"Summary : Diabetes means your blood glucose, or blood sugar, levels are too high. If you can't control your diabetes with wise food choices and physical activity, you may need diabetes medicines. The kind of medicine you take depends on your type of diabetes, your schedule, and your other health conditions. With type 1 diabetes, your pancreas does not make insulin. Insulin is a hormone that helps glucose get into your cells to give them energy. Without insulin, too much glucose stays in your blood. If you have type 1 diabetes, you will need to take insulin. Type 2 diabetes, the most common type, can start when the body doesn't use insulin as it should. If your body can't keep up with the need for insulin, you may need to take pills. Along with meal planning and physical activity, diabetes pills help people with type 2 diabetes or gestational diabetes keep their blood glucose levels on target. Several kinds of pills are available. Each works in a different way. Many people take two or three kinds of pills. Some people take combination pills. Combination pills contain two kinds of diabetes medicine in one tablet. Some people take pills and insulin. NIH: National Institute of Diabetes and Digestive and Kidney Diseases",Diabetes Medicines
Do you have information about Heart Transplantation,"Summary : A heart transplant removes a damaged or diseased heart and replaces it with a healthy one. The healthy heart comes from a donor who has died. It is the last resort for people with heart failure when all other treatments have failed. The heart failure might have been caused by coronary heart disease, damaged heart valves or heart muscles, congenital heart defects, or viral infections of the heart. Although heart transplant surgery is a life-saving measure, it has many risks. Careful monitoring, treatment, and regular medical care can prevent or help manage some of these risks. After the surgery, most heart transplant patients can return to their normal levels of activity. However, fewer than 30 percent return to work for many different reasons. NIH: National Heart, Lung, and Blood Institute",Heart Transplantation
What is (are) Heart Diseases--Prevention ?,"Heart disease is the leading cause of death in the U.S. It is also a major cause of disability. The risk of heart disease increases as you age. You have a greater risk of heart disease if you are a man over age 45 or a woman over age 55. You also are at greater risk if you have a close family member who had heart disease at an early age. Fortunately, there are many things you can do reduce your chances of getting heart disease. You should - Know your blood pressure and keep it under control - Exercise regularly - Don't smoke - Get tested for diabetes and if you have it, keep it under control - Know your cholesterol and triglyceride levels and keep them under control - Eat a lot of fruits and vegetables - Maintain a healthy weight",Heart Diseases--Prevention
What is (are) Heart Attack ?,"Each year over a million people in the U.S. have a heart attack. About half of them die. Many people have permanent heart damage or die because they don't get help immediately. It's important to know the symptoms of a heart attack and call 9-1-1 if someone is having them. Those symptoms include - Chest discomfort - pressure, squeezing, or pain - Shortness of breath - Discomfort in the upper body - arms, shoulder, neck, back - Nausea, vomiting, dizziness, lightheadedness, sweating These symptoms can sometimes be different in women. What exactly is a heart attack? Most heart attacks happen when a clot in the coronary artery blocks the supply of blood and oxygen to the heart. Often this leads to an irregular heartbeat - called an arrhythmia - that causes a severe decrease in the pumping function of the heart. A blockage that is not treated within a few hours causes the affected heart muscle to die. NIH: National Heart, Lung, and Blood Institute",Heart Attack
What is (are) Diabetes Type 1 ?,"Diabetes means your blood glucose, or blood sugar, levels are too high. With type 1 diabetes, your pancreas does not make insulin. Insulin is a hormone that helps glucose get into your cells to give them energy. Without insulin, too much glucose stays in your blood. Over time, high blood glucose can lead to serious problems with your heart, eyes, kidneys, nerves, and gums and teeth. Type 1 diabetes happens most often in children and young adults but can appear at any age. Symptoms may include - Being very thirsty - Urinating often - Feeling very hungry or tired - Losing weight without trying - Having sores that heal slowly - Having dry, itchy skin - Losing the feeling in your feet or having tingling in your feet - Having blurry eyesight A blood test can show if you have diabetes. If you do, you will need to take insulin for the rest of your life. A blood test called the A1C can check to see how well you are managing your diabetes. NIH: National Institute of Diabetes and Digestive and Kidney Diseases",Diabetes Type 1
What is (are) Diabetes in Children and Teens ?,"Until recently, the common type of diabetes in children and teens was type 1. It was called juvenile diabetes. With Type 1 diabetes, the pancreas does not make insulin. Insulin is a hormone that helps glucose,or sugar, get into your cells to give them energy. Without insulin, too much sugar stays in the blood. But now younger people are also getting type 2 diabetes. Type 2 diabetes used to be called adult-onset diabetes. But now it is becoming more common in children and teens, due to more obesity. With Type 2 diabetes, the body does not make or use insulin well. Children have a higher risk of type 2 diabetes if they are obese, have a family history of diabetes, or are not active, and do not eat well. To lower the risk of type 2 diabetes in children - Have them maintain a healthy weight - Be sure they are physically active - Have them eat smaller portions of healthy foods - Limit time with the TV, computer, and video Children and teens with type 1 diabetes may need to take insulin. Type 2 diabetes may be controlled with diet and exercise. If not, patients will need to take oral diabetes medicines or insulin. A blood test called the A1C can check on how you are managing your diabetes.",Diabetes in Children and Teens
What is (are) Diabetic Foot ?,"If you have diabetes, your blood glucose, or blood sugar, levels are too high. Over time, this can damage your nerves or blood vessels. Nerve damage from diabetes can cause you to lose feeling in your feet. You may not feel a cut, a blister or a sore. Foot injuries such as these can cause ulcers and infections. Serious cases may even lead to amputation. Damage to the blood vessels can also mean that your feet do not get enough blood and oxygen. It is harder for your foot to heal, if you do get a sore or infection. You can help avoid foot problems. First, control your blood sugar levels. Good foot hygiene is also crucial: - Check your feet every day - Wash your feet every day - Keep the skin soft and smooth - Smooth corns and calluses gently - If you can see, reach, and feel your feet, trim your toenails regularly. If you cannot, ask a foot doctor (podiatrist) to trim them for you. - Wear shoes and socks at all times - Protect your feet from hot and cold - Keep the blood flowing to your feet NIH: National Institute of Diabetes and Digestive and Kidney Diseases",Diabetic Foot
What is (are) Diabetes Complications ?,"If you have diabetes, your blood glucose, or blood sugar, levels are too high. Over time, this can cause problems with other body functions, such as your kidneys, nerves, feet, and eyes. Having diabetes can also put you at a higher risk for heart disease and bone and joint disorders. Other long-term complications of diabetes include skin problems, digestive problems, sexual dysfunction, and problems with your teeth and gums. Very high or very low blood sugar levels can also lead to emergencies in people with diabetes. The cause can be an underlying infection, certain medicines, or even the medicines you take to control your diabetes. If you feel nauseated, sluggish or shaky, seek emergency care. NIH: National Institute of Diabetes and Digestive and Kidney Diseases",Diabetes Complications
What is (are) Diabetes and Pregnancy ?,"Diabetes is a disease in which your blood glucose, or blood sugar, levels are too high. When you are pregnant, high blood sugar levels are not good for your baby. About seven out of every 100 pregnant women in the United States get gestational diabetes. Gestational diabetes is diabetes that happens for the first time when a woman is pregnant. Most of the time, it goes away after you have your baby. But it does increase your risk for developing type 2 diabetes later on. Your child is also at risk for obesity and type 2 diabetes. Most women get a test to check for diabetes during their second trimester of pregnancy. Women at higher risk may get a test earlier. If you already have diabetes, the best time to control your blood sugar is before you get pregnant. High blood sugar levels can be harmful to your baby during the first weeks of pregnancy - even before you know you are pregnant. To keep you and your baby healthy, it is important to keep your blood sugar as close to normal as possible before and during pregnancy. Either type of diabetes during pregnancy increases the chances of problems for you and your baby. To help lower the chances talk to your health care team about - A meal plan for your pregnancy - A safe exercise plan - How often to test your blood sugar - Taking your medicine as prescribed. Your medicine plan may need to change during pregnancy. NIH: National Institute of Diabetes and Digestive and Kidney Diseases",Diabetes and Pregnancy
What is (are) Heart Disease in Women ?,"In the United States, 1 in 4 women dies from heart disease. The most common cause of heart disease in both men and women is narrowing or blockage of the coronary arteries, the blood vessels that supply blood to the heart itself. This is called coronary artery disease, and it happens slowly over time. It's the major reason people have heart attacks. Heart diseases that affect women more than men include - Coronary microvascular disease (MVD) - a problem that affects the heart's tiny arteries - Broken heart syndrome - extreme emotional stress leading to severe but often short-term heart muscle failure The older a woman gets, the more likely she is to get heart disease. But women of all ages should be concerned about heart disease. All women can take steps to prevent it by practicing healthy lifestyle habits. NIH: National Heart, Lung, and Blood Institute",Heart Disease in Women
What is (are) Heartburn ?,"Heartburn is a painful burning feeling in your chest or throat. It happens when stomach acid backs up into your esophagus, the tube that carries food from your mouth to your stomach. If you have heartburn more than twice a week, you may have GERD. But you can have GERD without having heartburn. Pregnancy, certain foods, alcohol, and some medications can bring on heartburn. Treating heartburn is important because over time reflux can damage the esophagus. Over-the-counter medicines may help. If the heartburn continues, you may need prescription medicines or surgery. If you have other symptoms such as crushing chest pain, it could be a heart attack. Get help immediately.",Heartburn
What is (are) Diabetes ?,"Diabetes is a disease in which your blood glucose, or blood sugar, levels are too high. Glucose comes from the foods you eat. Insulin is a hormone that helps the glucose get into your cells to give them energy. With type 1 diabetes, your body does not make insulin. With type 2 diabetes, the more common type, your body does not make or use insulin well. Without enough insulin, the glucose stays in your blood. You can also have prediabetes. This means that your blood sugar is higher than normal but not high enough to be called diabetes. Having prediabetes puts you at a higher risk of getting type 2 diabetes. Over time, having too much glucose in your blood can cause serious problems. It can damage your eyes, kidneys, and nerves. Diabetes can also cause heart disease, stroke and even the need to remove a limb. Pregnant women can also get diabetes, called gestational diabetes. Blood tests can show if you have diabetes. One type of test, the A1C, can also check on how you are managing your diabetes. Exercise, weight control and sticking to your meal plan can help control your diabetes. You should also monitor your blood glucose level and take medicine if prescribed. NIH: National Institute of Diabetes and Digestive and Kidney Diseases",Diabetes
What is (are) Congenital Heart Defects ?,"A congenital heart defect is a problem with the structure of the heart. It is present at birth. Congenital heart defects are the most common type of birth defect. The defects can involve the walls of the heart, the valves of the heart, and the arteries and veins near the heart. They can disrupt the normal flow of blood through the heart. The blood flow can slow down, go in the wrong direction or to the wrong place, or be blocked completely. Doctors use a physical exam and special heart tests to diagnose congenital heart defects. They often find severe defects during pregnancy or soon after birth. Signs and symptoms of severe defects in newborns include - Rapid breathing - Cyanosis - a bluish tint to the skin, lips, and fingernails - Fatigue - Poor blood circulation Many congenital heart defects cause few or no signs and symptoms. They are often not diagnosed until children are older. Many children with congenital heart defects don't need treatment, but others do. Treatment can include medicines, catheter procedures, surgery, and heart transplants. The treatment depends on the type of the defect, how severe it is, and a child's age, size, and general health. NIH: National Heart, Lung, and Blood Institute",Congenital Heart Defects
What is (are) Heart Failure ?,"Heart failure is a condition in which the heart can't pump enough blood to meet the body's needs. Heart failure does not mean that your heart has stopped or is about to stop working. It means that your heart is not able to pump blood the way it should. It can affect one or both sides of the heart. The weakening of the heart's pumping ability causes - Blood and fluid to back up into the lungs - The buildup of fluid in the feet, ankles and legs - called edema - Tiredness and shortness of breath Common causes of heart failure are coronary artery disease, high blood pressure and diabetes. It is more common in people who are 65 years old or older, African Americans, people who are overweight, and people who have had a heart attack. Men have a higher rate of heart failure than women. Your doctor will diagnose heart failure by doing a physical exam and heart tests. Treatment includes treating the underlying cause of your heart failure, medicines, and heart transplantation if other treatments fail. NIH: National Heart, Lung, and Blood Institute",Heart Failure
Do you have information about Heart Surgery,"Summary : Heart surgery can correct problems with the heart if other treatments haven't worked or can't be used. The most common type of heart surgery for adults is coronary artery bypass grafting (CABG). During CABG, a healthy artery or vein from the body is connected, or grafted, to a blocked coronary (heart) artery. Doctors also use heart surgery to - Repair or replace heart valves, which control blood flow through the heart - Repair abnormal or damaged structures in the heart - Implant medical devices that help control the heartbeat or support heart function and blood flow - Replace a damaged heart with a healthy heart from a donor - Treat heart failure and coronary heart disease - Control abnormal heart rhythms Heart surgery has risks, even though its results often are excellent. Risks include bleeding, infection, irregular heartbeats, and stroke. The risk is higher if you are older or a woman. The risk is also higher if you have other diseases or conditions, such as diabetes, kidney disease, lung disease, or peripheral arterial disease. NIH: National Heart, Lung, and Blood Institute",Heart Surgery
What is (are) Diabetes Insipidus ?,"Diabetes insipidus (DI) causes frequent urination. You become extremely thirsty, so you drink. Then you urinate. This cycle can keep you from sleeping or even make you wet the bed. Your body produces lots of urine that is almost all water. DI is different from diabetes mellitus (DM), which involves insulin problems and high blood sugar. The symptoms can be similar. However, DI is related to how your kidneys handle fluids. It's much less common than DM. Urine and blood tests can show which one you have. Usually, DI is caused by a problem with your pituitary gland or your kidneys. Treatment depends on the cause of the problem. Medicines can often help. NIH: National Institute of Diabetes and Digestive and Kidney Diseases",Diabetes Insipidus
What is (are) Diabetes mellitus type 1 ?,"Diabetes mellitus type 1 (DM1) is a condition in which cells in the pancreas (beta cells) stop producing insulin, causing abnormally high blood sugar levels. Lack of insulin results in the inability of the body to use glucose for energy and control the amount of sugar in the blood. DM1 can occur at any age, but usually develops by early adulthood, most often in adolescence. Symptoms of high blood sugar may include frequent urination, excessive thirst, fatigue, blurred vision, tingling or loss of feeling in the hands and feet, and weight loss. The exact cause of DM1 is unknown, but having certain ""variants"" of specific genes may increase a person's risk to develop the condition. A predisposition to develop DM1 runs in families, but no known inheritance pattern exists. Treatment includes blood sugar control and insulin replacement therapy. Improper control can cause recurrence of high blood sugar, or abnormally low blood sugar (hypoglycemia) during exercise or when eating is delayed. If not treated, the condition can be life-threatening. Over many years, chronic high blood sugar may be associated with a variety of complications that affect many parts of the body.",Diabetes mellitus type 1
What are the symptoms of Diabetes mellitus type 1 ?,"What are the signs and symptoms of Diabetes mellitus type 1? The Human Phenotype Ontology provides the following list of signs and symptoms for Diabetes mellitus type 1. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the immune system - Diabetes mellitus - Heterogeneous - Hyperglycemia - Ketoacidosis - Polydipsia - Polyphagia - Polyuria - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",Diabetes mellitus type 1
Is Diabetes mellitus type 1 inherited ?,"Is diabetes mellitus type 1 inherited? Diabetes mellitus type 1 (DM1) itself is not inherited, but a predisposition to developing the condition can run in families. While some people with a family history of DM1 may be at an increased risk, most will not have the condition. While the exact cause is not known, some genetic risk factors have been found. The risk of developing DM1 is increased by having certain versions (variants) of genes, which belong to a family of genes called the human leukocyte antigen (HLA) complex. HLA genes have many variations, and people have a certain combination of these variations, called a haplotype. Certain HLA haplotypes are associated with a higher risk of developing DM1, with particular combinations causing the highest risk. However, these variants are also found in the general population, and only about 5% of people with the gene variants develop DM1. Other genes, as well as a variety of other factors, are thought to influence the risk for DM1 also. Because there is no specific inheritance pattern associated with DM1, it is difficult to predict whether another family member will develop the condition. Generally, the risk is higher if a parent or sibling is affected. In some cases, genetic testing can be done to determine if someone who has a family history is at increased risk of developing the condition. More information can be found on the America Diabetes Association's Web site, which has an article entitled Genetics of Diabetes. People with specific questions about genetic risks to themselves or family members should speak with their health care provider or a genetics professional.",Diabetes mellitus type 1
